No,Date,Total AF,Total Acc AF,Max G/M
125,5/27/2021,0,52.04,0
126,5/28/2021,0,52.04,0
127,5/29/2021,0,52.04,0
128,5/30/2021,0,52.04,0
129,5/31/2021,0,52.04,0
130,6/1/2021,0,52.04,0
131,6/2/2021,0,52.04,0
132,6/3/2021,0,52.04,0
133,6/4/2021,0,52.04,0
134,6/5/2021,0,52.04,0
135,6/6/2021,0,52.04,0
136,6/7/2021,0,52.04,0
137,6/8/2021,0,52.04,0
138,6/9/2021,0,52.04,0
139,6/10/2021,0,52.04,0
140,6/11/2021,0,52.04,0
141,6/12/2021,0,52.04,0
142,6/13/2021,0,52.04,0
143,6/14/2021,0,52.04,0
144,6/15/2021,0,52.04,0
145,6/16/2021,0,52.04,0
146,6/17/2021,0,52.04,0
147,6/18/2021,0,52.04,0
148,6/19/2021,0,52.04,0
149,6/20/2021,0,52.04,0
150,6/21/2021,0,52.04,0
151,6/22/2021,0,52.04,0
152,6/23/2021,0,52.04,0
153,6/24/2021,0,52.04,0
154,6/25/2021,0,52.04,0
155,6/26/2021,0,52.04,0
156,6/27/2021,0,52.04,0
157,6/28/2021,0,52.04,0
158,6/29/2021,0,52.04,0
159,6/30/2021,0,52.04,0
160,7/1/2021,0,52.04,0
161,7/2/2021,0,52.04,0
162,7/3/2021,0,52.04,0
163,7/4/2021,0,52.04,0
164,7/5/2021,0,52.04,0
165,7/6/2021,0,52.04,0
166,7/7/2021,0,52.04,0
167,7/8/2021,0,52.04,0
168,7/9/2021,0,52.04,0
169,7/10/2021,0,52.04,0
170,7/11/2021,0,52.04,0
171,7/12/2021,0,52.04,0
172,7/13/2021,0,52.04,0
173,7/14/2021,0,52.04,0
174,7/15/2021,0,52.04,0
175,7/16/2021,0,52.04,0
176,7/17/2021,0,52.04,0
177,7/18/2021,0,52.04,0
178,7/19/2021,0,52.04,0
179,7/20/2021,0,52.04,0
180,7/21/2021,0,52.04,0
181,7/22/2021,0,52.04,0
182,7/23/2021,0,52.04,0
183,7/24/2021,0,52.04,0
184,7/25/2021,0,52.04,0
185,7/26/2021,0,52.04,0
186,7/27/2021,0,52.04,0
187,7/28/2021,0,52.04,0.27
188,7/29/2021,0,52.04,0
189,7/30/2021,0,52.04,0
190,7/31/2021,0,52.04,0
191,8/1/2021,0,52.04,0
192,8/2/2021,0,52.04,0
193,8/3/2021,0,52.04,0
194,8/4/2021,0,52.04,0
195,8/5/2021,0,52.04,0
196,8/6/2021,0,52.04,0
197,8/7/2021,0,52.04,0
198,8/8/2021,0,52.04,0
199,8/9/2021,0,52.04,0
200,8/10/2021,0,52.04,0
201,8/11/2021,0,52.04,0
202,8/12/2021,0,52.04,0
203,8/13/2021,0,52.04,0
204,8/14/2021,0,52.04,0
205,8/15/2021,0,52.04,0
206,8/16/2021,0,52.04,0
207,8/17/2021,0,52.04,0
208,8/18/2021,0,52.04,0
209,8/19/2021,0,52.04,0
210,8/20/2021,0,52.04,0
211,8/21/2021,0,52.04,0
212,8/22/2021,0,52.04,0
213,8/23/2021,0,52.04,0
214,8/24/2021,0,52.04,0
215,8/25/2021,0,52.04,0
216,8/26/2021,0,52.04,0
217,8/27/2021,0,52.04,0
218,8/28/2021,0,52.04,0
219,8/29/2021,0,52.04,0
220,8/30/2021,0,52.04,0
221,8/31/2021,0,52.04,0
222,9/1/2021,0,52.04,0
223,9/2/2021,0,52.04,0
224,9/3/2021,0,52.04,0
225,9/4/2021,0,52.04,0
226,9/5/2021,0,52.04,0
227,9/6/2021,0,52.04,0
228,9/7/2021,0,52.04,0
229,9/8/2021,0,52.04,0
230,9/9/2021,0,52.04,0
231,9/10/2021,0,52.04,0
232,9/11/2021,0,52.04,0
233,9/12/2021,0,52.04,0
234,9/13/2021,0,52.04,0
235,9/14/2021,0,52.04,0
236,9/15/2021,0,52.04,0
237,9/16/2021,0,52.04,0
238,9/17/2021,0,52.04,0
239,9/18/2021,0,52.04,0
240,9/19/2021,0,52.04,0
241,9/20/2021,0,52.04,0
242,9/21/2021,0,52.04,0
243,9/22/2021,0,52.04,0
244,9/23/2021,0,52.04,0
245,9/24/2021,0,52.04,0
246,9/25/2021,0,52.04,0
247,9/26/2021,0,52.04,0
248,9/27/2021,0,52.04,0
249,9/28/2021,0,52.04,0
250,9/29/2021,0,52.04,0
251,9/30/2021,0,52.04,0
252,10/1/2021,0.35,52.39,198.55
253,10/2/2021,0.74,53.13,307.56
254,10/3/2021,0.86,53.98,266.78
255,10/4/2021,0.86,54.84,217.48
256,10/5/2021,0.87,55.71,265.18
257,10/6/2021,0.81,56.52,210.55
258,10/7/2021,0.78,57.3,206.02
259,10/8/2021,0.84,58.15,219.34
260,10/9/2021,0.8,58.95,232.4
261,10/10/2021,0.52,59.46,251.32
262,10/11/2021,0.55,60.02,274.24
263,10/12/2021,0.8,60.82,249.46
264,10/13/2021,0.76,61.58,299.83
265,10/14/2021,1.05,62.63,389.11
266,10/15/2021,1.16,63.79,389.38
267,10/16/2021,1.31,65.1,403.5
268,10/17/2021,0.7,65.81,622.58
269,10/18/2021,1.05,66.86,365.66
270,10/19/2021,1.42,68.28,460.27
271,10/20/2021,1,69.28,474.93
272,10/21/2021,0,69.28,0
273,10/22/2021,0,69.28,0
274,10/23/2021,0,69.28,0
275,10/24/2021,0,69.28,0
276,10/25/2021,0,69.28,0
277,10/26/2021,0,69.28,0
278,10/27/2021,0,69.28,0
279,10/28/2021,0,69.28,0
280,10/29/2021,0,69.28,0
281,10/30/2021,0,69.28,0
282,10/31/2021,0,69.28,0
283,11/1/2021,0,69.28,0
284,11/2/2021,0,69.28,0
285,11/3/2021,0,69.28,0
286,11/4/2021,0,69.28,0
287,11/5/2021,0,69.28,0
288,11/6/2021,0,69.28,0
289,11/7/2021,0,69.28,0
290,11/8/2021,0,69.28,0
291,11/9/2021,0,69.28,0
292,11/10/2021,0,69.28,0
293,11/11/2021,0,69.28,0
294,11/12/2021,0,69.28,0
295,11/13/2021,0,69.28,0
296,11/14/2021,0,69.28,0
297,11/15/2021,0,69.28,0
298,11/16/2021,0,69.28,0
299,11/17/2021,0,69.28,0
300,11/18/2021,0,69.28,0
301,11/19/2021,0,69.28,0
302,11/20/2021,0,69.28,0
303,11/21/2021,0,69.28,0
304,11/22/2021,0,69.28,0
305,11/23/2021,0,69.28,0
306,11/24/2021,0,69.28,0
307,11/25/2021,0,69.28,0
308,11/26/2021,0,69.28,0
309,11/27/2021,0,69.28,0
310,11/28/2021,0,69.28,0
311,11/29/2021,0,69.28,0
312,11/30/2021,0,69.28,0
313,12/1/2021,0,69.28,0
314,12/2/2021,0,69.28,0
315,12/3/2021,0,69.28,0
316,12/4/2021,0,69.28,0
317,12/5/2021,0,69.28,0
318,12/6/2021,0,69.28,0
319,12/7/2021,0,69.28,0
320,12/8/2021,0,69.28,0
321,12/9/2021,0,69.28,0
322,12/10/2021,0,69.28,0
323,12/11/2021,0,69.28,0
324,12/12/2021,0,69.28,0
325,12/13/2021,0,69.28,0
326,12/14/2021,0,69.28,0
327,12/15/2021,0,69.28,0
328,12/16/2021,0,69.28,0
329,12/17/2021,0,69.28,0
330,12/18/2021,0,69.28,0
331,12/19/2021,0,69.28,0
332,12/20/2021,0,69.28,0
333,12/21/2021,0,69.28,0
334,12/22/2021,0,69.28,0
335,12/23/2021,0,69.28,0
336,12/24/2021,0,69.28,0
337,12/25/2021,0,69.28,0
338,12/26/2021,0,69.28,0
339,12/27/2021,0,69.28,0
340,12/28/2021,0,69.28,0
341,12/29/2021,0,69.28,0
342,12/30/2021,0,69.28,0
343,12/31/2021,0,69.28,0
344,1/1/2022,0,69.28,0
345,1/2/2022,0,69.28,0
346,1/3/2022,0,69.28,0
347,1/4/2022,0,69.28,0
348,1/5/2022,0,69.28,0
349,1/6/2022,0,69.28,0
350,1/7/2022,0,69.28,0
351,1/8/2022,0,69.28,0
352,1/9/2022,0,69.28,0
353,1/10/2022,0,69.28,0
354,1/11/2022,0,69.28,0
355,1/12/2022,0,69.28,0
356,1/13/2022,0,69.28,0
357,1/14/2022,0,69.28,0
358,1/15/2022,0,69.28,0
359,1/16/2022,0,69.28,0
360,1/17/2022,0,69.28,0
361,1/18/2022,0,69.28,0
362,1/19/2022,0,69.28,0
363,1/20/2022,0,69.28,0
364,1/21/2022,0,69.28,0
